#APS Storage Ring History, measured on 2013-07-09
#S:SRtimeCP      S:SRcurrentCP
#time, hr       	current, mA     
-12.3167       	102.064        
-12.3          	102.249        
-12.2833       	102.264        
-12.2667       	101.979        
-12.25         	101.982        
-12.2333       	101.987        
-12.2167       	101.995        
-12.2          	102.184        
-12.1833       	102.202        
-12.1667       	102.214        
-12.15         	102.219        
-12.1333       	102.388        
-12.1167       	102.11         
-12.1          	102.118        
-12.0833       	102.118        
-12.0667       	102.118        
-12.05         	102.337        
-12.0333       	102.049        
-12.0167       	102.061        
-12            	102.076        
-11.9833       	102.282        
-11.9667       	101.991        
-11.95         	102.008        
-11.9333       	102.022        
-11.9167       	102.038        
-11.9          	102.258        
-11.8833       	101.985        
-11.8667       	102.001        
-11.85         	102.021        
-11.8333       	102.043        
-11.8167       	102.072        
-11.8          	102.297        
-11.7833       	102.024        
-11.7667       	102.02         
-11.75         	102.048        
-11.7333       	102.191        
-11.7167       	102.213        
-11.7          	102.241        
-11.6833       	102.262        
-11.6667       	101.981        
-11.65         	102.23         
-11.6333       	102.234        
-11.6167       	102.254        
-11.6          	101.977        
-11.5833       	101.986        
-11.5667       	102.222        
-11.55         	102.238        
-11.5333       	102.249        
-11.5167       	102.269        
-11.5          	101.988        
-11.4833       	102.177        
-11.4667       	102.194        
-11.45         	102.221        
-11.4333       	102.243        
-11.4167       	102.368        
-11.4          	102.094        
-11.3833       	102.126        
-11.3667       	102.149        
-11.35         	102.393        
-11.3333       	102.12         
-11.3167       	102.139        
-11.3          	102.144        
-11.2833       	102.149        
-11.2667       	102.372        
-11.25         	102.093        
-11.2333       	102.103        
-11.2167       	102.12         
-11.2          	102.136        
-11.1833       	102.339        
-11.1667       	102.06         
-11.15         	102.072        
-11.1333       	102.093        
-11.1167       	102.088        
-11.1          	102.316        
-11.0833       	102.038        
-11.0667       	102.045        
-11.05         	102.061        
-11.0333       	102.232        
-11.0167       	102.266        
-11            	101.991        
-10.9833       	102.03         
-10.9667       	102.067        
-10.95         	102.102        
-10.9333       	102.372        
-10.9167       	102.099        
